105000,706,2017-02-02,Violence against civilians,Attack,Military Forces of Somalia (2012-2017),,Civilians (Somalia),Pastoralists (Somalia),17,Eastern Africa,Somalia,Bay,Baydhaba,Mayafulka,OSINT; Partner Database,Government shot and killed a camel herder they suspected of being an al Shabaab informant.,1
105001,706,2017-02-02,Strategic developments,Other,Islamic State (Somalia),,,,20,Eastern Africa,Somalia,Bari,Qandala,Qandala,Undisclosed Source,"Non-violent activity: ISIL blocked a water supply to , 18 km W of Qandala.",0
105002,706,2017-02-02,Violence against civilians,Attack,Unidentified Armed Group (Somalia),,Civilians (Somalia),,37,Eastern Africa,Somalia,Banadir,Heliwa,Mogadishu-Heliwa,Undisclosed Source,A famous businessman was shot and killed at Dabaqeynka Mosque neighbourhood in Huriwa district by two unidentified armed men using pistols as he exited the mosque after prayers. The motive of the killing was not clear and the perpetrators managed to escape. The victim was head of Daru salam estate village.,1
105003,706,2017-02-03,Battles,Armed clash,Military Forces of Somalia (2012-2017),,Al Shabaab,,12,Eastern Africa,Somalia,Lower Shabelle,Wanla Weyn,Muuri,Undisclosed Source,"Al Shabaab attacks a military base at Muuri, but withdrew after SNG reinforcements arrived. Causalities not known.",0
105004,706,2017-02-03,Violence against civilians,Attack,Police Forces of Somalia (2012-2017),,Civilians (Somalia),,17,Eastern Africa,Somalia,Banadir,Daynile,Mogadishu-Daynile,Undisclosed Source,Police at Kahda district shot at a group of people in Kahda district. One civilian bystander was killed and two others were injured. Police from Banadir Regional Administration arrived at the scene and arrested the Commander of Kahda Police station. The reason for the shooting is not known.,1
105005,706,2017-02-03,Protests,Peaceful protest,Protesters (Somalia),,,,60,Eastern Africa,Somalia,Banadir,Bondhere,Mogadishu-Bondhere,Undisclosed Source,A large crowd demonstrated at Dal Jirka Dahsoon monument in support of International Court of Justice (ICJ) decision regarding the Somali - Kenya maritime border dispute. Banadir Regional Administration officials attended the rally and addressed the crowd.,0
105006,706,2017-02-03,Battles,Armed clash,Military Forces of Somalia (2012-2017),,Unidentified Armed Group (Somalia),,13,Eastern Africa,Somalia,Banadir,Daynile,Mogadishu-Daynile,Undisclosed Source,"An RCIED, targeting a SNAF battle wagon, exploded near Cafi factory along Industrial road. Security forces shot at suspected directions of the attack. Reports on casualties could not be established at the time of reporting.",0
105007,706,2017-02-04,Strategic developments,Disrupted weapons use,Police Forces of Somalia (2012-2017),,Al Shabaab,,12,Eastern Africa,Somalia,Hiraan,Belet Weyne,Belet Weyne,Xinhua,Defusal: Police discover and diffuse a al Shabaab IED in Belet Weyne. No casualties.,0
105008,706,2017-02-04,Violence against civilians,Attack,Al Shabaab,,Civilians (Somalia),,27,Eastern Africa,Somalia,Middle Shabelle,Balcad,Gilibey,Partner Database,"Al Shabaab intercepts a civilian vehicle, one reported wounded.",0
105009,706,2017-02-04,Protests,Peaceful protest,Protesters (Somalia),,,,60,Eastern Africa,Somalia,Woqooyi Galbeed,Hargeysa,Hargeysa,News Chronicle,"A group of single men have gone public to protest over the inflated dowry in Somalia. In the photos, the Somali men holding signs that read 'Still I am Single', where said to have held their protest at the Mansoor hotel in Hargeisa. According to them, they said the brides' parents are extorting men through the inflated bride price in the country.",0
